,UniProt ID,InChI Key,Parameter,Value,Unit,Database Source,Database Target ID,Database Ligand ID,Reference,Interaction_type
19,P21731,OZCSUWJJBCTGGK-UHFFFAOYSA-N,IC50,67400,nM,ChEMBL,CHEMBL2069,CHEMBL1916704,21958540,0
20,P35463,HWVMJVABFQFFPJ-UHFFFAOYSA-N,IC50,4800,nM,ChEMBL,CHEMBL3949,CHEMBL294496,11985472,0
21,P34972,FIDJJNCJJRGHEV-UHFFFAOYSA-N,IC50,68,nM,ChEMBL,CHEMBL253,CHEMBL3696827,None,1
22,P61169,ORZPHDSNVICTTE-LBPRGKRZSA-N,IC50,1050,nM,ChEMBL,CHEMBL339,CHEMBL225853,10785418,0
23,P30551,DRQVDSCOJCYNGL-PQMADMOESA-N,IC50,324.2,nM,ChEMBL,CHEMBL2871,CHEMBL276613,11755332,1
24,P56481,OXPFQDPMHQMMAD-BHVANESWSA-N,IC50,600,nM,ChEMBL,CHEMBL2854,CHEMBL31671,"Bioorg. Med. Chem. Lett., (1996) 6:13:1421",1
25,Q8JZL2,WAOZNBXSEVIAGX-MBOZVWFJSA-N,IC50,0.6,nM,ChEMBL,CHEMBL4730,CHEMBL2032049,22542010,1
26,P26684,FYSOOPQBBYQVJU-JOCHJYFZSA-N,IC50,69,nM,ChEMBL,CHEMBL4566,CHEMBL93097,9667964,1
27,P35351,MWLIILCWIIOLDI-UHFFFAOYSA-N,IC50,25000,nM,ChEMBL,CHEMBL257,CHEMBL135522,8277505,0
28,P35462,OHODDACZFUFQDV-UHFFFAOYSA-N,IC50,334,nM,ChEMBL,CHEMBL234,CHEMBL1086626,20149649,1
29,P43119,YOPFAMROKXHVCQ-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL1995,CHEMBL2442750,24021582,0
30,P07550,MWMXMJXDBMIQEO-SFHVURJKSA-N,IC50,>20000,nM,ChEMBL,CHEMBL210,CHEMBL1093086,20181479,0
31,P21452,GRMREWPIXQSXKU-RULDIGERSA-N,IC50,>10000,nM,ChEMBL,CHEMBL2327,CHEMBL3736361,"MedChemComm, (2015) 6:3:469",0
32,Q28838,PHCRDKPMQMCLER-UHFFFAOYSA-N,IC50,4000,nM,ChEMBL,CHEMBL4744,CHEMBL299561,7912735,0
33,P35368,NQJAQUQDUQZJDT-UHFFFAOYSA-N,IC50,3266,nM,ChEMBL,CHEMBL232,CHEMBL3809532,27031406,0
34,P0DMS8,MJJALKDDGIKVBE-UHFFFAOYSA-N,IC50,3195.3,nM,ChEMBL,CHEMBL256,CHEMBL305660,DrugMatrix in vitro pharmacology data,0
35,P47898,HEFIDNYHXDTDFP-UHFFFAOYSA-N,IC50,501.19,nM,ChEMBL,CHEMBL3426,CHEMBL318571,7932524,1
36,P20272,ZLXUGRLMNDAXDB-UHFFFAOYSA-N,IC50,13.6,nM,ChEMBL,CHEMBL3571,CHEMBL464085,19022666,1
37,P21731,UHMQYWPLWZKMOS-CQSZACIVSA-N,IC50,>100000,nM,ChEMBL,CHEMBL2069,CHEMBL550868,19608418,0
38,P33535,XTRFRBWZBJQZAH-ZQRMPTRQSA-N,IC50,3615,nM,ChEMBL,CHEMBL270,CHEMBL2371216,2537426,0
39,P21554,RWLYOWXSBNGGDM-UHFFFAOYSA-N,IC50,14.6,nM,ChEMBL,CHEMBL218,CHEMBL497914,19530697,1
40,P33533,WDWUDQLDYWBWLS-LQKDOSGMSA-N,IC50,>10000,nM,ChEMBL,CHEMBL269,CHEMBL573308,19576786,0
41,P07550,KYTVXLDJXMOWPN-FQEVSTJZSA-N,IC50,>10000,nM,ChEMBL,CHEMBL210,CHEMBL1090424,20181479,0
42,P25099,KWPKVWUWXHGMDP-UYAOXDASSA-N,IC50,34,nM,ChEMBL,CHEMBL318,CHEMBL2113729,10450966,1
43,O95665,JKNYDBWUVJUVPS-CVUOCSEZSA-N,IC50,1425,nM,ChEMBL,CHEMBL2514,CHEMBL3622804,26348111,0
44,P32239,GSESSLUFFYEVQL-QHCPKHFHSA-N,IC50,20,nM,ChEMBL,CHEMBL298,CHEMBL353509,8632408,1
45,P21453,WFMGEMPWKRJJHM-UHFFFAOYSA-N,IC50,7.3,nM,ChEMBL,CHEMBL4333,CHEMBL325247,15177461,1
46,P41144,DSOVZCSZPXGAMI-UHFFFAOYSA-N,IC50,>1000,nM,ChEMBL,CHEMBL3952,CHEMBL288669,7739011,1
47,P08913,CTETYYAZBPJBHE-UHFFFAOYSA-N,IC50,1222,nM,ChEMBL,CHEMBL1867,CHEMBL1289,DrugMatrix in vitro pharmacology data,0
48,P97288,UTMXFLLOSBJGIE-UHFFFAOYSA-N,IC50,0.56,nM,ChEMBL,CHEMBL2183,CHEMBL35226,12502367,1
49,P24530,ZEXCTKKHUJWXNG-UHFFFAOYSA-N,IC50,3275,nM,ChEMBL,CHEMBL1785,CHEMBL314307,"Bioorg. Med. Chem. Lett., (1996) 6:22:2651",0
50,P50052,NKSPYRPIQFVDAL-UHFFFAOYSA-N,IC50,200,nM,ChEMBL,CHEMBL4607,CHEMBL128416,"Bioorg. Med. Chem. Lett., (1994) 4:1:57",1
51,P08912,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,IC50,1358,nM,ChEMBL,CHEMBL2035,CHEMBL41,DrugMatrix in vitro pharmacology data,0
52,P50406,JWHAUXFOSRPERK-UHFFFAOYSA-N,IC50,1863,nM,ChEMBL,CHEMBL3371,CHEMBL631,DrugMatrix in vitro pharmacology data,0
53,P28223,NKANXQFJJICGDU-QPLCGJKRSA-N,IC50,4801,nM,ChEMBL,CHEMBL224,CHEMBL83,DrugMatrix in vitro pharmacology data,0
54,P30551,SUOYLFCIGPMWOT-ACXGOBSESA-N,IC50,1604,nM,ChEMBL,CHEMBL2871,CHEMBL545122,8145219,0
55,P61169,JVGJNXVXHQYNTM-UHFFFAOYSA-N,IC50,2160,nM,ChEMBL,CHEMBL339,CHEMBL325079,8759642,0
56,P18090,QZUDBNBUXVUHMW-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3252,CHEMBL42,2875184,0
57,P43116,HIZNWXUSWJBZEM-CMDGGOBGSA-N,IC50,32921,nM,ChEMBL,CHEMBL1881,CHEMBL565799,19957930,0
58,P19327,LFDFDERYUSRWCV-UHFFFAOYSA-N,IC50,420,nM,ChEMBL,CHEMBL273,CHEMBL43513,8568802,1
59,P25100,ZLXIUIBLWYKVOG-LUTIACGYSA-N,IC50,31.62,nM,ChEMBL,CHEMBL223,CHEMBL1945036,22079756,1
60,P32239,XBKMGYLXZQJCAF-UHFFFAOYSA-N,IC50,2300,nM,ChEMBL,CHEMBL298,CHEMBL135167,8277510,0
61,P19327,QWOWPFGONZKUAH-UHFFFAOYSA-N,IC50,20,nM,ChEMBL,CHEMBL273,CHEMBL100875,12482441,1
62,P41145,ZHBMQILIPHSQJF-RPBOFIJWSA-N,IC50,>10000,nM,ChEMBL,CHEMBL237,CHEMBL2115427,10673103,0
63,P30551,CNLSXJCDLVTJMM-PJRHAEEISA-N,IC50,1714,nM,ChEMBL,CHEMBL2871,CHEMBL436253,"Bioorg. Med. Chem. Lett., (1997) 7:7:855",0
64,P41595,SMANXXCATUTDDT-QPJJXVBHSA-N,IC50,1088,nM,ChEMBL,CHEMBL1833,CHEMBL30008,DrugMatrix in vitro pharmacology data,0
65,P29275,BMPWLQYHGXNWJS-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL255,CHEMBL339019,15203160,0
66,Q75Z89,SWQROGXQGSMWNA-UHFFFAOYSA-N,IC50,4000,nM,ChEMBL,CHEMBL3446,CHEMBL27763,7912735,0
67,P35463,UCOQIZHGNIKEJW-UHFFFAOYSA-N,IC50,>100000,nM,ChEMBL,CHEMBL3949,CHEMBL62659,11985472,0
68,P24530,SRQSESHDJDXUDV-UHFFFAOYSA-N,IC50,2030,nM,ChEMBL,CHEMBL1785,CHEMBL425682,12617929,0
69,P34972,NGQPTWABWXZNJV-UHFFFAOYSA-N,IC50,1730,nM,ChEMBL,CHEMBL253,CHEMBL486154,18954042,0
70,P47901,NQOZPTYIJQUKTJ-UHFFFAOYSA-N,IC50,3,nM,ChEMBL,CHEMBL1921,CHEMBL1684573,21353540,1
71,P32245,ISYSUUGKBGYVMF-UHFFFAOYSA-N,IC50,40.3,nM,ChEMBL,CHEMBL259,CHEMBL558789,17267226,1
72,P33535,ZRSCTRATMGUJCI-VHSZZVNMSA-N,IC50,6300,nM,ChEMBL,CHEMBL270,CHEMBL611161,10340622,0
73,Q99705,SAYDHMAEZCXKDT-UHFFFAOYSA-N,IC50,10,nM,ChEMBL,CHEMBL344,CHEMBL3601035,26077492,1
74,P47901,VEDIIFYRKAULFT-UHFFFAOYSA-N,IC50,120,nM,ChEMBL,CHEMBL1921,CHEMBL1223814,20719508,1
75,P32300,DHZNWMDZVMDMAC-AWYDNWMNSA-N,IC50,125892541179416992,nM,ChEMBL,CHEMBL3222,CHEMBL381534,16290934,0
76,P35463,KDHJCWYJNIOYHM-UHFFFAOYSA-N,IC50,5800,nM,ChEMBL,CHEMBL3949,CHEMBL62759,11985472,0
77,P41145,NQJOKWLIXAPJRW-UHFFFAOYSA-N,IC50,370,nM,ChEMBL,CHEMBL237,CHEMBL3325716,25087049,1
78,P08588,DWNSMKMERLQDIL-LJAQVGFWSA-N,IC50,4800,nM,ChEMBL,CHEMBL213,CHEMBL38254,10915043,0
79,P35346,GAGMNMVDVIUYOH-HRZHTRQKSA-N,IC50,200,nM,ChEMBL,CHEMBL1792,CHEMBL1254321,20684600,1
80,P35351,ARVXIHZWEMWLIT-DEOSSOPVSA-N,IC50,82,nM,ChEMBL,CHEMBL257,CHEMBL62157,"Bioorg. Med. Chem. Lett., (1993) 3:10:2023",1
81,P21554,DJDOKEGYGRKFBK-MHOZMEHISA-N,IC50,7,nM,ChEMBL,CHEMBL218,CHEMBL2153674,22959249,1
82,P07550,HCRWXYFCVVDWAC-YTTGMZPUSA-N,IC50,1500,nM,ChEMBL,CHEMBL210,CHEMBL286437,10888325,0
83,P51675,TYQNFWIJWOXJPV-OAQYLSRUSA-N,IC50,>25000,nM,ChEMBL,CHEMBL3872,CHEMBL2180528,23075267,0
84,P21728,LUZRJRNZXALNLM-JGRZULCMSA-N,IC50,2395,nM,ChEMBL,CHEMBL2056,CHEMBL1732,DrugMatrix in vitro pharmacology data,0
85,P32245,MWUCNYWUPGVTSX-IIHRZFSGSA-N,IC50,>1000,nM,ChEMBL,CHEMBL259,CHEMBL409982,18088090,1
86,P35368,KYFDMTNYQFXNHE-GOSISDBHSA-N,IC50,2862,nM,ChEMBL,CHEMBL232,CHEMBL3809490,27031406,0
87,Q75Z89,NOIZELMBLJHYSX-UHFFFAOYSA-N,IC50,1621.81,nM,ChEMBL,CHEMBL3446,CHEMBL415933,9191957,0
88,P28335,KPJZHOPZRAFDTN-ZRGWGRIASA-N,IC50,2.087,nM,ChEMBL,CHEMBL225,CHEMBL1065,DrugMatrix in vitro pharmacology data,1
89,P34995,OMWOJIWKUWHUTM-UHFFFAOYSA-N,IC50,2.512,nM,ChEMBL,CHEMBL1811,CHEMBL390188,17084082,1
90,P30551,XRAQYXXVWRWJBR-BGIQMXKESA-N,IC50,1500,nM,ChEMBL,CHEMBL2871,CHEMBL312894,1635058,0
91,P21554,HAFWIBPGIZOZQO-BXKMTCNYSA-N,IC50,15.4,nM,ChEMBL,CHEMBL218,CHEMBL231240,17293109,1
92,P11229,QFWVGKDFYOXTQO-UHFFFAOYSA-N,IC50,2030,nM,ChEMBL,CHEMBL216,CHEMBL499519,16038549,0
93,Q13258,WWTUPLYVAGCTLH-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4427,CHEMBL2011451,24900341,0
94,P41145,TWYCTZMTDROLEE-UHFFFAOYSA-N,IC50,3079,nM,ChEMBL,CHEMBL237,CHEMBL1762397,21330016,0
95,P35462,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,IC50,831,nM,ChEMBL,CHEMBL234,CHEMBL64894,DrugMatrix in vitro pharmacology data,1
96,P08173,DUFKTZBQJIHIAQ-VGZDNEPHSA-N,IC50,>1000,nM,ChEMBL,CHEMBL1821,CHEMBL198949,16198561,1
97,Q28838,AFJZCPCUPUMAIA-UHFFFAOYSA-N,IC50,20000,nM,ChEMBL,CHEMBL4744,CHEMBL25984,7912735,0
98,P28335,KRMDCWKBEZIMAB-UHFFFAOYSA-N,IC50,6.048,nM,ChEMBL,CHEMBL225,CHEMBL629,DrugMatrix in vitro pharmacology data,1
99,P61169,QSNJCJGBMAHIQV-UHFFFAOYSA-N,IC50,1640,nM,ChEMBL,CHEMBL339,CHEMBL134027,8831770,0
100,P32246,IQAOPXDQHGLJKW-UHFFFAOYSA-N,IC50,71,nM,ChEMBL,CHEMBL2413,CHEMBL435812,12166951,1
101,P26684,BRFPHZRJHAJJMA-UHFFFAOYSA-N,IC50,40,nM,ChEMBL,CHEMBL4566,CHEMBL92965,9667964,1
102,P30551,PTONYPXFMSECSH-AVUDXFIYSA-N,IC50,>1000,nM,ChEMBL,CHEMBL2871,CHEMBL124491,11020292,1
103,P35368,FQUAFMNPXPXOJE-UHFFFAOYSA-N,IC50,>39810.72,nM,ChEMBL,CHEMBL232,CHEMBL3311308,24881566,0
104,Q99500,WCDFXVWDGHHCSI-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3892,CHEMBL3759434,26794040,0
105,P20309,NWSGPQHVYDPULS-VVBGAXOOSA-N,IC50,125.89,nM,ChEMBL,CHEMBL245,CHEMBL553446,18818072,1
106,O43614,CNZJIRFXWPIYAV-UHFFFAOYSA-N,IC50,596,nM,ChEMBL,CHEMBL4792,CHEMBL3902987,None,1
107,P08588,VNQDFZASGRYFMC-FQEVSTJZSA-N,IC50,1300,nM,ChEMBL,CHEMBL213,CHEMBL67251,9873496,0
108,P08912,BIPJEVLVWPZDEX-UHFFFAOYSA-N,IC50,255.8,nM,ChEMBL,CHEMBL2035,CHEMBL540316,9986705,1
109,P15823,RMEDXOLNCUSCGS-UHFFFAOYSA-N,IC50,18,nM,ChEMBL,CHEMBL315,CHEMBL1108,DrugMatrix in vitro pharmacology data,1
110,P35368,USUKAJGRONDNTQ-UHFFFAOYSA-N,IC50,9170,nM,ChEMBL,CHEMBL232,CHEMBL3948551,27709945,0
111,P56481,BUPULZSGJRTAJI-UHFFFAOYSA-N,IC50,290,nM,ChEMBL,CHEMBL2854,CHEMBL282645,"Bioorg. Med. Chem. Lett., (1996) 6:13:1421",1
112,P28564,RWVUEZAROXKXRT-VQLSFVLHSA-N,IC50,2.977,nM,ChEMBL,CHEMBL3459,CHEMBL1909065,DrugMatrix in vitro pharmacology data,1
113,P08588,PYCIBYBKAOWFLX-MHZLTWQESA-N,IC50,8000,nM,ChEMBL,CHEMBL213,CHEMBL286231,10888325,0
114,P43088,RXTAVSNCEWWPED-LUQOTIDNSA-N,IC50,42,nM,ChEMBL,CHEMBL1987,CHEMBL440164,11708917,1
115,P56481,SVPRXCNLWFSJRD-UHFFFAOYSA-N,IC50,652,nM,ChEMBL,CHEMBL2854,CHEMBL167758,"Bioorg. Med. Chem. Lett., (1997) 7:7:805",1
116,O43613,FIPXBPYXRCPALA-LJQANCHMSA-N,IC50,6,nM,ChEMBL,CHEMBL5113,CHEMBL3954756,None,1
117,P56481,PCHYMTHJLQQDLT-ACNFANBVSA-N,IC50,>10000,nM,ChEMBL,CHEMBL2854,CHEMBL342110,9990454,0
118,P35463,VQPKQBMUTVZRRZ-UHFFFAOYSA-N,IC50,2100,nM,ChEMBL,CHEMBL3949,CHEMBL294793,11985472,0
119,P61169,CCMSWCPOSSFEQM-UHFFFAOYSA-N,IC50,33000,nM,ChEMBL,CHEMBL339,CHEMBL70609,10377229,0
120,P35372,ZREUYGHIRGMBCR-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL233,CHEMBL126842,11052794,0
121,P50406,GALCSZPFCCZIBC-UHFFFAOYSA-N,IC50,427,nM,ChEMBL,CHEMBL3371,CHEMBL116463,11585444,1
122,P14416,DFDOLOVKMMATDA-UHFFFAOYSA-N,IC50,16500,nM,ChEMBL,CHEMBL217,CHEMBL3335539,25221667,0
123,Q13258,QBFZDOCPZLDATI-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4427,CHEMBL1933767,22119474,0
124,P35463,OHRLDMJCZCASBH-IIVGNXFFSA-N,IC50,>100000,nM,ChEMBL,CHEMBL3949,CHEMBL176913,8632420,0
125,P32745,NSEQNLMYAPFUCS-MOSVSYJFSA-N,IC50,>1000,nM,ChEMBL,CHEMBL2028,CHEMBL386922,11405660,1
126,O43614,HMBQAXPSSHQUTP-HOTGVXAUSA-N,IC50,>10000,nM,ChEMBL,CHEMBL4792,CHEMBL3980821,None,0
127,P25025,SIUQYAWDXLUCLD-UHFFFAOYSA-N,IC50,962,nM,ChEMBL,CHEMBL2434,CHEMBL3704560,None,1
128,P07550,XGBKDGIMRVZUCW-UHFFFAOYSA-N,IC50,990,nM,ChEMBL,CHEMBL210,CHEMBL308860,11055339,1
129,P28564,CGHICUOGCBNVLX-UHFFFAOYSA-N,IC50,3000,nM,ChEMBL,CHEMBL3459,CHEMBL60318,9622542,0
130,P20288,DDFOVLJCDZCIIF-UHFFFAOYSA-N,IC50,11600,nM,ChEMBL,CHEMBL3998,CHEMBL77421,2571732,0
131,Q63931,NQJIQTNWNDWKGM-ZYADHFCISA-N,IC50,390,nM,ChEMBL,CHEMBL3501,CHEMBL3144545,1375964,1
132,P08173,DMFXETUOWLUQID-UHFFFAOYSA-N,IC50,7943.28,nM,ChEMBL,CHEMBL1821,CHEMBL218755,17149881,0
133,P21731,GEZZLXQCQXBMNF-UHFFFAOYSA-N,IC50,>25000,nM,ChEMBL,CHEMBL2069,CHEMBL2385898,23721423,0
134,P33535,DIXNNWRHERAZLO-XYHHVMNMSA-N,IC50,3760,nM,ChEMBL,CHEMBL270,CHEMBL286629,8289187,0
135,P28564,LNEPOXFFQSENCJ-UHFFFAOYSA-N,IC50,>10000,nM,ChEMBL,CHEMBL3459,CHEMBL54,9622542,0
136,P30557,UQEWWXSQAINMCT-VQHVLOKHSA-N,IC50,28,nM,ChEMBL,CHEMBL4336,CHEMBL585581,19957930,1
137,P35372,YURULKGWGZYSBI-UHFFFAOYSA-N,IC50,>5000,nM,ChEMBL,CHEMBL233,CHEMBL278062,12643930,0
138,P61169,WMEXYJKBXVWCOJ-UHFFFAOYSA-N,IC50,1850,nM,ChEMBL,CHEMBL339,CHEMBL108245,8759642,0
139,Q9H228,JXGNTXCFTVWCAS-UHFFFAOYSA-N,IC50,29,nM,ChEMBL,CHEMBL2274,CHEMBL224703,15615513,1
140,P34975,QSSZOJFXUSHIGB-UHFFFAOYSA-N,IC50,351,nM,ChEMBL,CHEMBL3614,CHEMBL596371,19646882,1
141,P25101,IINURLQUSCGKMH-ROXDYWFKSA-N,IC50,15000,nM,ChEMBL,CHEMBL252,CHEMBL433039,"Bioorg. Med. Chem. Lett., (1995) 5:13:1401",0
142,P34972,WVDJTKNTFJTWOV-UHFFFAOYSA-N,IC50,3400,nM,ChEMBL,CHEMBL253,CHEMBL467924,19328684,0
143,Q9WV26,UUPNFNCKGJOLQE-UHFFFAOYSA-N,IC50,430,nM,ChEMBL,CHEMBL1671613,CHEMBL274447,1433210,1
144,Q9EPX4,JMLLYABYZDIYPB-BTNRLSLSSA-N,IC50,850,nM,ChEMBL,CHEMBL2188,CHEMBL3098246,24332627,1
145,P30542,IPPJNUFPGUBGGY-UHFFFAOYSA-N,IC50,102,nM,ChEMBL,CHEMBL226,CHEMBL211813,16697192,1
146,P21731,SFYIMOUYRJPZOY-UDIRQSBCSA-N,IC50,>10000,nM,ChEMBL,CHEMBL2069,CHEMBL36901,10915040,0
147,P21554,FLTKRJYBXQQZTD-UHFFFAOYSA-N,IC50,2.7,nM,ChEMBL,CHEMBL218,CHEMBL513648,19328684,1
148,P07550,XAIVJWNZTMSMKF-FQEVSTJZSA-N,IC50,230,nM,ChEMBL,CHEMBL210,CHEMBL64935,9873496,1
149,P21554,AEZJZQUQSSELMO-UHFFFAOYSA-N,IC50,0.4,nM,ChEMBL,CHEMBL218,CHEMBL1091832,20096577,1
150,P43119,QTPDOBNDVXWFTR-KPALQMBUSA-N,IC50,>10000,nM,ChEMBL,CHEMBL1995,CHEMBL79260,9357516,0
151,P41143,YXXJLCVNKYHKIQ-APEXYLGGSA-N,IC50,8840,nM,ChEMBL,CHEMBL236,CHEMBL3707086,12502358,0
152,P30872,PPGNOEGUZVQNDQ-QLOVBTAGSA-N,IC50,>1000,nM,ChEMBL,CHEMBL1917,CHEMBL268611,11405660,1
153,P25025,HXWAIGPPSSSOED-UHFFFAOYSA-N,IC50,10,nM,ChEMBL,CHEMBL2434,CHEMBL184185,15357956,1
154,O43614,UEHAGGQKTBZZLN-HNNXBMFYSA-N,IC50,78,nM,ChEMBL,CHEMBL4792,CHEMBL3958706,None,1
155,P34972,CMTAWOLUHJMEIC-UHFFFAOYSA-N,IC50,1173.7,nM,ChEMBL,CHEMBL253,CHEMBL525551,19530697,0
156,P11229,UVKZSORBKUEBAZ-UHFFFAOYSA-N,IC50,675,nM,ChEMBL,CHEMBL216,CHEMBL648,DrugMatrix in vitro pharmacology data,1
157,P34972,WQUXRUMJZRILOM-UHFFFAOYSA-N,IC50,5510.1,nM,ChEMBL,CHEMBL253,CHEMBL499075,19530697,0
158,O95665,SXNKGENAHNQHOV-JNRWAQIZSA-N,IC50,405,nM,ChEMBL,CHEMBL2514,CHEMBL3622801,26348111,1
159,P19327,CQMXKYDRFMRPTO-QGPMSJSTSA-N,IC50,570,nM,ChEMBL,CHEMBL273,CHEMBL14089,9871719,1
160,P21554,ZQYMYNTXESIPRE-UHFFFAOYSA-N,IC50,2229,nM,ChEMBL,CHEMBL218,CHEMBL1760931,21420860,0
161,P61169,PAVIGVDFHAXYTL-UHFFFAOYSA-N,IC50,>1000,nM,ChEMBL,CHEMBL339,CHEMBL226176,17234422,1
162,P07550,RKIAGHOGEJSAGM-LJAQVGFWSA-N,IC50,21000,nM,ChEMBL,CHEMBL210,CHEMBL63760,10999482,0
163,P30872,DOGBGARZKYJWBW-QCVMXTKJSA-N,IC50,1000,nM,ChEMBL,CHEMBL1917,CHEMBL3349617,9544214,1
164,P28335,RSGCACAPJKNVTM-UHFFFAOYSA-N,IC50,13.3,nM,ChEMBL,CHEMBL225,CHEMBL2393244,23537943,1
165,P26684,CJWWJPSCWFVUGP-UHFFFAOYSA-N,IC50,490,nM,ChEMBL,CHEMBL4566,CHEMBL155937,10098676,1
166,P24530,PKHUJBTZRIYKHG-UHFFFAOYSA-N,IC50,1140,nM,ChEMBL,CHEMBL1785,CHEMBL2261601,"Med Chem Res, (2004) 13:3:149",0
167,P21728,KTQASNDGWLUTPN-UHFFFAOYSA-N,IC50,2740,nM,ChEMBL,CHEMBL2056,CHEMBL114484,11585444,0
168,Q9Y5Y4,KQAXCFPELSVYBH-UHFFFAOYSA-N,IC50,400,nM,ChEMBL,CHEMBL5071,CHEMBL1950874,22264478,1
169,P25101,WGQYSLYCRPURSK-UHFFFAOYSA-N,IC50,549,nM,ChEMBL,CHEMBL252,CHEMBL295632,9171877,1
170,O95977,LGBJMRRTIMHUDO-UHFFFAOYSA-N,IC50,182,nM,ChEMBL,CHEMBL3230,CHEMBL1354895,PubChem BioAssay data set,1
171,Q9EPX4,WHTRZVJUZVJLBS-UHFFFAOYSA-N,IC50,1400,nM,ChEMBL,CHEMBL2188,CHEMBL3325654,25075638,0
172,P34975,XCNLHYDEJHTWRT-GCJKJVERSA-N,IC50,1300,nM,ChEMBL,CHEMBL3614,CHEMBL309491,1346276,0
173,P14842,FBVVCNRRXMQYPZ-UHFFFAOYSA-N,IC50,1000,nM,ChEMBL,CHEMBL322,CHEMBL12177,9046348,1
174,O43613,YICJBMYJMAZRCL-NVXWUHKLSA-N,IC50,1800,nM,ChEMBL,CHEMBL5113,CHEMBL3426138,25981685,0
175,P19327,NGVLXUDHOKGWPG-UHFFFAOYSA-N,IC50,22000,nM,ChEMBL,CHEMBL273,CHEMBL61539,7783131,0
176,P43115,IMBHIUBZBSVFLA-UHFFFAOYSA-N,IC50,<3162.28,nM,ChEMBL,CHEMBL3710,CHEMBL397957,17084082,0
177,P34972,BHZGXFWFPHVSCI-UHFFFAOYSA-N,IC50,2330,nM,ChEMBL,CHEMBL253,CHEMBL486756,18954042,0
178,P35348,JCKSBFDVTFRZJP-JFGZAKSSSA-N,IC50,>10000,nM,ChEMBL,CHEMBL229,CHEMBL1806874,21591752,0
